nID;nID_Service;nID_City;nID_Region;nID_ServiceType;oData;sURL;bHidden;nID_Subject_Operator;bTest;sNote;asAuth;nID_Place;nID_Server
1058;79;54;;4;"{""processDefinitionId"":""zh_berdichiv_412:1:1""}";;false;225;false;;BankID,EDS;54;0
1059;1406;16;;4;"{""processDefinitionId"":""dnepr_cnap_241:1:1""}";;false;225;true;;BankID,EDS;50012;0
1069;15;92;;4;"{""processDefinitionId"":""dnepr_cnap_184_otrimannya:1:1""}";;false;212;false;;BankID,EDS;92;0
1070;155;1;;4;"{""processDefinitionId"":""demo:1:1""}";;true;1;true;;BankID,EDS;1;0
1071;1476;92;;4;"{""processDefinitionId"":""zovtyvodu_cnap_430:1:1""}";;false;225;false;;BankID,EDS;92;0
1072;15;283;;4;"{""processDefinitionId"":""dnepr_cnap_184_otrimannya:1:1""}";;false;212;false;;BankID,EDS;283;0
1073;15;495;;4;"{""processDefinitionId"":""dnepr_cnap_184_otrimannya:1:1""}";;false;212;false;;BankID,EDS;495;0
1074;15;494;;4;"{""processDefinitionId"":""dnepr_cnap_184_otrimannya:1:1""}";;false;212;true;;BankID,EDS;494;0
1075;659;27;;4;"{""processDefinitionId"":""kuznetsovsk_mvk_2:1:1""}";;false;212;false;;BankID,EDS;27;0
1076;1477;26;;4;"{""processDefinitionId"":""cnap_khmeln_546:1:1""}";;false;225;false;;BankID,EDS;26;0
1077;774;26;;4;"{""processDefinitionId"":""dnepr_soc_144:1:1""}";;false;14;false;;BankID,EDS;26;0
